"Name","Club","Nationality","Age","Appearances","Wins","Losses","Clean_sheets","Clean_Sheet_Percentage","Goals_conceded","Goals_Conceded_Per_Match","Saves","Saves_Per_Match","Save_Percentage","Penalties_saved","Punches","High_Claims","Catches","Sweeper_clearances","Goal_Kicks","GK_Rating"
"Sergio Romero","Manchester-United","Argentina",33,7,4,1,6,85.71,2,0.29,20,2.86,90.91,1,1,10,2,5,38,91.21
"Alisson","Liverpool","Brazil",27,69,55,4,35,50.72,48,0.7,137,1.99,74.05,1,26,20,12,36,388,72.74
"Ederson","Manchester-City","Brazil",27,110,87,14,52,47.27,78,0.71,184,1.67,70.23,2,28,45,13,76,496,70.14
"Emiliano Martínez","Aston-Villa","Argentina",28,16,9,6,7,43.75,16,1,44,2.75,73.33,1,2,22,6,4,103,69.46
"Dean Henderson","Manchester-United","England",23,36,14,11,13,36.11,33,0.92,97,2.69,74.62,1,16,16,7,8,261,67.92
"Loris Karius","Liverpool","Germany",27,29,17,4,13,44.83,26,0.9,51,1.76,66.23,1,15,14,7,17,150,67.24
"David de Gea","Manchester-United","Spain",29,314,174,66,113,35.99,317,1.01,870,2.77,73.29,2,108,185,107,87,2452,67.08
"David Martin","West-Ham-United","England",34,5,2,3,2,40,6,1.2,15,3,71.43,0,1,1,0,0,44,66.97
"Joe Hart","Tottenham-Hotspur","England",33,340,169,97,127,37.35,383,1.13,941,2.77,71.07,7,269,391,249,180,2806,66.24
"Hugo Lloris","Tottenham-Hotspur","France",33,262,153,56,92,35.11,277,1.06,703,2.68,71.73,5,177,210,96,257,1888,66.04
"Nick Pope","Burnley","England",28,74,28,26,26,35.14,89,1.2,237,3.2,72.7,2,29,100,18,45,605,66.02
"Vicente Guaita","Crystal-Palace","Spain",33,57,23,21,18,31.58,66,1.16,182,3.19,73.39,0,37,29,18,14,478,65.35
"Fraser Forster","Southampton","England",32,107,44,38,37,34.58,119,1.11,259,2.42,68.52,2,31,81,26,21,802,64.45
"Willy Caballero","Chelsea","Argentina",38,33,19,5,11,33.33,33,1,72,2.18,68.57,1,15,20,5,16,166,64.43
"Kasper Schmeichel","Leicester-City","Denmark",33,211,91,69,65,30.81,264,1.25,599,2.84,69.41,5,101,158,84,142,1718,63.26
"David Button","West-Bromwich-Albion","England",31,4,1,2,1,25,5,1.25,14,3.5,73.68,0,2,2,1,1,34,63.22
"Adrián","Liverpool","Spain",33,136,56,44,37,27.21,177,1.3,454,3.34,71.95,5,54,150,53,108,1243,63.04
"Lee Grant","Manchester-United","England",37,31,10,12,9,29.03,41,1.32,99,3.19,70.71,0,21,24,16,21,301,63.03
"Martin Dubravka","Newcastle-United","Slovakia",31,88,29,38,26,29.55,117,1.33,261,2.97,69.05,1,39,75,16,32,756,62.5
"Rui Patrício","Wolverhampton-Wanderers","Portugal",32,77,31,23,21,27.27,89,1.16,195,2.53,68.66,2,13,32,17,5,581,62.16
"Karl Darlow","Newcastle-United","England",29,21,5,8,6,28.57,29,1.38,65,3.1,69.15,1,13,30,5,9,174,62.09
"Bernd Leno","Arsenal","Germany",28,64,28,16,14,21.88,82,1.28,222,3.47,73.03,1,34,26,17,28,489,61.94
"Lukasz Fabianski","West-Ham-United","Poland",35,246,91,104,63,25.61,349,1.42,807,3.28,69.81,6,155,357,101,123,2016,61.35
"Tom Heaton","Aston-Villa","England",34,116,34,55,28,24.14,167,1.44,408,3.52,70.96,3,40,96,73,53,1023,61.31
"Jordan Pickford","Everton","England",26,147,48,65,38,25.85,218,1.48,462,3.14,67.94,4,71,98,38,65,1232,60.49
"Kepa Arrizabalaga","Chelsea","Spain",25,71,39,20,22,30.99,89,1.25,142,2,61.47,1,16,33,9,22,473,60.13
"Mat Ryan","Brighton-and-Hove-Albion","Australia",28,112,27,50,26,23.21,166,1.48,340,3.04,67.19,2,32,68,17,15,956,59.4
"John Ruddy","Wolverhampton-Wanderers","England",33,119,33,54,25,21.01,190,1.6,389,3.27,67.18,2,51,175,76,69,1098,58.38
"Eldin Jakupovic","Leicester-City","Switzerland",35,28,9,13,6,21.43,47,1.68,94,3.36,66.67,2,15,20,11,19,269,58.06
"Scott Carson","Manchester-City","England",35,145,44,66,30,20.69,222,1.53,433,2.99,66.11,3,66,161,164,23,1385,58.06
"Wayne Hennessey","Crystal-Palace","Wales",33,181,47,94,37,20.44,301,1.66,617,3.41,67.21,3,72,274,96,122,1621,58.04
"Alex McCarthy","Southampton","England",30,96,26,43,17,17.71,151,1.57,314,3.27,67.53,1,59,90,24,28,786,57.62
"Paulo Gazzaniga","Tottenham-Hotspur","Argentina",28,43,13,20,6,13.95,61,1.42,127,2.95,67.55,1,18,36,17,31,359,56.94
"Jonas Lössl","Everton","Denmark",31,69,12,41,14,20.29,112,1.62,191,2.77,63.04,3,43,49,9,34,527,56.44
"Aaron Ramsdale","Sheffield-United","England",22,39,9,23,5,12.82,65,1.67,132,3.38,67.01,1,17,21,6,13,312,55.64
"Jed Steer","Aston-Villa","England",28,2,0,2,0,0,1,0.5,2,1,66.67,0,0,1,0,2,5,55.17
"Angus Gunn","Southampton","England",24,22,6,10,5,22.73,43,1.95,63,2.86,59.43,1,5,6,4,12,168,54.74
"Darren Randolph","West-Ham-United","Ireland",33,31,10,14,6,19.35,58,1.87,85,2.74,59.44,1,6,33,8,15,262,53.97
"Fabri","Fulham","Spain",32,2,0,2,0,0,5,2.5,16,8,76.19,0,0,1,1,3,14,52.98
"Danny Ward","Leicester-City","Wales",27,2,1,1,0,0,4,2,9,4.5,69.23,0,0,2,3,2,12,51.69
"Ørjan Nyland","Aston-Villa","Norway",30,7,1,4,1,14.29,12,1.71,15,2.14,55.56,0,1,3,2,0,53,51.38
"Simon Moore","Sheffield-United","England",30,2,0,1,0,0,6,3,5,2.5,45.45,0,0,0,0,0,11,39.18
"Marek Rodák","Fulham","Slovakia",23,1,0,1,0,0,3,3,2,2,40,0,0,0,0,1,4,37
"Alphonse Areola","Fulham","France",27,1,0,1,0,0,4,4,3,3,42.86,0,2,0,0,0,3,35.14
"Sam Johnstone","West-Bromwich-Albion","England",27,2,0,2,0,0,8,4,6,3,42.86,0,0,0,0,0,14,35.14
"Will Norris","Burnley","England",27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
